State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,14,1,0,28/03/20
Andaman and Nicobar Islands,6,0,0,28/03/20
Bihar,9,0,1,28/03/20
Chandigarh,8,0,0,28/03/20
Chhattisgarh,6,0,0,28/03/20
Delhi,39,6,1,28/03/20
Goa,3,0,0,28/03/20
Gujarat,45,0,3,28/03/20
Haryana,33,12,0,28/03/20
Himachal Pradesh,3,0,1,28/03/20
Jammu and Kashmir,20,1,1,28/03/20
Karnataka,55,3,2,28/03/20
Kerala,176,11,0,28/03/20
Ladakh,13,3,0,28/03/20
Madhya Pradesh,30,0,2,28/03/20
Maharashtra,180,25,5,28/03/20
Manipur,1,0,0,28/03/20
Mizoram,1,0,0,28/03/20
Odisha,3,0,0,28/03/20
Puducherry,1,0,0,28/03/20
Punjab,38,1,1,28/03/20
Rajasthan,54,3,0,28/03/20
Tamil Nadu,40,2,1,28/03/20
Telengana,56,1,0,28/03/20
Uttarakhand,5,0,0,28/03/20
Uttar Pradesh,55,11,0,28/03/20
West Bengal,15,0,1,28/03/20
India,909,80,19,28/03/20
