State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,266,1,3,2020-04-07
Andaman and Nicobar Islands,10,0,0,2020-04-07
Arunachal Pradesh,1,0,0,2020-04-07
Assam,26,0,0,2020-04-07
Bihar,32,0,1,2020-04-07
Chandigarh,18,7,0,2020-04-07
Chhattisgarh,10,9,0,2020-04-07
Delhi,576,21,7,2020-04-07
Goa,7,0,0,2020-04-07
Gujarat,165,25,13,2020-04-07
Haryana,90,25,1,2020-04-07
Himachal Pradesh,13,2,1,2020-04-07
Jammu and Kashmir,116,4,2,2020-04-07
Jharkhand,4,0,0,2020-04-07
Karnataka,175,25,4,2020-04-07
Kerala,327,58,2,2020-04-07
Ladakh,14,10,0,2020-04-07
Madhya Pradesh,229,0,13,2020-04-07
Maharashtra,868,56,48,2020-04-07
Manipur,2,0,0,2020-04-07
Mizoram,1,0,0,2020-04-07
Odisha,42,2,1,2020-04-07
Puducherry,5,1,0,2020-04-07
Punjab,91,4,7,2020-04-07
Rajasthan,288,21,3,2020-04-07
Tamil Nadu,621,8,5,2020-04-07
Telengana,364,35,7,2020-04-07
Tripura,1,0,0,2020-04-07
Uttarakhand,31,5,0,2020-04-07
Uttar Pradesh,305,21,3,2020-04-07
West Bengal,91,13,3,2020-04-07
India,4789,353,124,2020-04-07
