State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,19,1,0,2020-03-30
Andaman and Nicobar Islands,9,0,0,2020-03-30
Bihar,11,0,1,2020-03-30
Chandigarh,8,0,0,2020-03-30
Chhattisgarh,7,0,0,2020-03-30
Delhi,53,6,2,2020-03-30
Goa,5,0,0,2020-03-30
Gujarat,58,1,5,2020-03-30
Haryana,33,17,0,2020-03-30
Himachal Pradesh,3,0,1,2020-03-30
Jammu and Kashmir,31,1,2,2020-03-30
Karnataka,80,5,3,2020-03-30
Kerala,194,19,1,2020-03-30
Ladakh,13,3,0,2020-03-30
Madhya Pradesh,33,0,2,2020-03-30
Maharashtra,193,25,8,2020-03-30
Manipur,1,0,0,2020-03-30
Mizoram,1,0,0,2020-03-30
Odisha,3,0,0,2020-03-30
Puducherry,1,0,0,2020-03-30
Punjab,38,1,1,2020-03-30
Rajasthan,57,3,0,2020-03-30
Tamil Nadu,50,4,1,2020-03-30
Telengana,69,1,1,2020-03-30
Uttarakhand,7,2,0,2020-03-30
Uttar Pradesh,75,11,0,2020-03-30
West Bengal,19,0,1,2020-03-30
India,1071,100,29,2020-03-30
