State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,161,1,1,2020-04-04
Andaman and Nicobar Islands,10,0,0,2020-04-04
Arunachal Pradesh,1,0,0,2020-04-04
Assam,24,0,0,2020-04-04
Bihar,30,0,1,2020-04-04
Chandigarh,18,0,0,2020-04-04
Chhattisgarh,9,3,0,2020-04-04
Delhi,445,15,6,2020-04-04
Goa,7,0,0,2020-04-04
Gujarat,105,14,10,2020-04-04
Haryana,49,24,0,2020-04-04
Himachal Pradesh,6,1,1,2020-04-04
Jammu and Kashmir,75,3,2,2020-04-04
Jharkhand,2,0,0,2020-04-04
Karnataka,128,12,3,2020-04-04
Kerala,295,41,2,2020-04-04
Ladakh,14,3,0,2020-04-04
Madhya Pradesh,104,0,6,2020-04-04
Maharashtra,490,42,24,2020-04-04
Manipur,2,0,0,2020-04-04
Mizoram,1,0,0,2020-04-04
Odisha,5,0,0,2020-04-04
Puducherry,5,1,0,2020-04-04
Punjab,57,1,5,2020-04-04
Rajasthan,200,21,0,2020-04-04
Tamil Nadu,411,6,2,2020-04-04
Telengana,159,1,7,2020-04-04
Uttarakhand,16,2,0,2020-04-04
Uttar Pradesh,174,19,2,2020-04-04
West Bengal,69,3,3,2020-04-04
India,3072,213,75,2020-04-04
