State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,432,11,7,2020-04-14
Andaman and Nicobar Islands,11,10,0,2020-04-14
Arunachal Pradesh,1,0,0,2020-04-14
Assam,31,0,1,2020-04-14
Bihar,65,26,1,2020-04-14
Chandigarh,21,7,0,2020-04-14
Chhattisgarh,31,10,0,2020-04-14
Delhi,1510,30,28,2020-04-14
Goa,7,5,0,2020-04-14
Gujarat,539,54,26,2020-04-14
Haryana,185,29,3,2020-04-14
Himachal Pradesh,32,13,1,2020-04-14
Jammu and Kashmir,270,16,4,2020-04-14
Jharkhand,24,0,2,2020-04-14
Karnataka,247,59,6,2020-04-14
Kerala,379,198,3,2020-04-14
Ladakh,15,10,0,2020-04-14
Madhya Pradesh,604,44,43,2020-04-14
Maharashtra,2334,217,160,2020-04-14
Manipur,2,1,0,2020-04-14
Mizoram,1,0,0,2020-04-14
Nagaland,1,0,0,2020-04-14
Odisha,54,12,1,2020-04-14
Puducherry,7,1,0,2020-04-14
Punjab,167,14,11,2020-04-14
Rajasthan,873,21,3,2020-04-14
Tamil Nadu,1173,58,11,2020-04-14
Telengana,562,100,16,2020-04-14
Tripura,2,0,0,2020-04-14
Uttarakhand,35,5,0,2020-04-14
Uttar Pradesh,558,49,5,2020-04-14
West Bengal,190,36,7,2020-04-14
India,10363,1036,339,2020-04-14
