State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,14,1,0,29/03/20
Andaman and Nicobar Islands,9,0,0,29/03/20
Bihar,9,0,1,29/03/20
Chandigarh,8,0,0,29/03/20
Chhattisgarh,6,0,0,29/03/20
Delhi,39,6,2,29/03/20
Goa,3,0,0,29/03/20
Gujarat,53,0,4,29/03/20
Haryana,33,12,0,29/03/20
Himachal Pradesh,3,0,1,29/03/20
Jammu and Kashmir,31,1,1,29/03/20
Karnataka,76,5,3,29/03/20
Kerala,182,15,1,29/03/20
Ladakh,13,3,0,29/03/20
Madhya Pradesh,30,0,2,29/03/20
Maharashtra,186,25,6,29/03/20
Manipur,1,0,0,29/03/20
Mizoram,1,0,0,29/03/20
Odisha,3,0,0,29/03/20
Puducherry,1,0,0,29/03/20
Punjab,38,1,1,29/03/20
Rajasthan,54,3,0,29/03/20
Tamil Nadu,42,2,1,29/03/20
Telengana,66,1,1,29/03/20
Uttarakhand,6,1,0,29/03/20
Uttar Pradesh,55,11,0,29/03/20
West Bengal,17,0,1,29/03/20
India,979,87,25,29/03/20
