State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,40,1,0,2020-03-31
Andaman and Nicobar Islands,10,0,0,2020-03-31
Bihar,15,0,1,2020-03-31
Chandigarh,13,0,0,2020-03-31
Chhattisgarh,8,0,0,2020-03-31
Delhi,97,6,2,2020-03-31
Goa,5,0,0,2020-03-31
Gujarat,73,3,6,2020-03-31
Haryana,40,21,0,2020-03-31
Himachal Pradesh,3,0,1,2020-03-31
Jammu and Kashmir,54,2,2,2020-03-31
Karnataka,83,5,3,2020-03-31
Kerala,234,19,1,2020-03-31
Ladakh,13,3,0,2020-03-31
Madhya Pradesh,47,0,3,2020-03-31
Maharashtra,216,39,9,2020-03-31
Manipur,1,0,0,2020-03-31
Mizoram,1,0,0,2020-03-31
Odisha,3,0,0,2020-03-31
Puducherry,1,0,0,2020-03-31
Punjab,41,1,3,2020-03-31
Rajasthan,74,3,0,2020-03-31
Tamil Nadu,74,4,1,2020-03-31
Telengana,79,1,1,2020-03-31
Uttarakhand,7,2,0,2020-03-31
Uttar Pradesh,101,14,0,2020-03-31
West Bengal,26,0,2,2020-03-31
India,1397,124,35,2020-03-31
