State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,381,11,6,2020-04-11
Andaman and Nicobar Islands,11,0,0,2020-04-11
Arunachal Pradesh,1,0,0,2020-04-11
Assam,29,0,1,2020-04-11
Bihar,60,0,1,2020-04-11
Chandigarh,18,7,0,2020-04-11
Chhattisgarh,18,9,0,2020-04-11
Delhi,903,25,14,2020-04-11
Goa,7,1,0,2020-04-11
Gujarat,308,31,19,2020-04-11
Haryana,177,29,3,2020-04-11
Himachal Pradesh,28,6,1,2020-04-11
Jammu and Kashmir,207,6,4,2020-04-11
Jharkhand,17,0,1,2020-04-11
Karnataka,214,37,6,2020-04-11
Kerala,364,123,2,2020-04-11
Ladakh,15,10,0,2020-04-11
Madhya Pradesh,443,0,33,2020-04-11
Maharashtra,1574,188,110,2020-04-11
Manipur,2,1,0,2020-04-11
Mizoram,1,0,0,2020-04-11
Odisha,48,2,1,2020-04-11
Puducherry,7,1,0,2020-04-11
Punjab,132,5,11,2020-04-11
Rajasthan,553,21,3,2020-04-11
Tamil Nadu,911,44,8,2020-04-11
Telengana,504,43,9,2020-04-11
Tripura,2,0,0,2020-04-11
Uttarakhand,35,5,0,2020-04-11
Uttar Pradesh,433,32,4,2020-04-11
West Bengal,126,16,5,2020-04-11
India,7529,653,242,2020-04-11
