State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,381,11,6,2020-04-12
Andaman and Nicobar Islands,11,10,0,2020-04-12
Arunachal Pradesh,1,0,0,2020-04-12
Assam,29,0,1,2020-04-12
Bihar,64,19,1,2020-04-12
Chandigarh,19,7,0,2020-04-12
Chhattisgarh,25,10,0,2020-04-12
Delhi,1069,25,19,2020-04-12
Goa,7,5,0,2020-04-12
Gujarat,432,44,22,2020-04-12
Haryana,185,29,3,2020-04-12
Himachal Pradesh,32,6,1,2020-04-12
Jammu and Kashmir,224,6,4,2020-04-12
Jharkhand,17,0,1,2020-04-12
Karnataka,226,37,6,2020-04-12
Kerala,374,142,2,2020-04-12
Ladakh,15,10,0,2020-04-12
Madhya Pradesh,564,0,36,2020-04-12
Maharashtra,1761,208,127,2020-04-12
Manipur,2,1,0,2020-04-12
Mizoram,1,0,0,2020-04-12
Odisha,54,12,1,2020-04-12
Puducherry,7,1,0,2020-04-12
Punjab,151,5,11,2020-04-12
Rajasthan,700,21,3,2020-04-12
Tamil Nadu,969,44,10,2020-04-12
Telengana,504,43,9,2020-04-12
Tripura,2,0,0,2020-04-12
Uttarakhand,35,5,0,2020-04-12
Uttar Pradesh,452,45,5,2020-04-12
West Bengal,134,19,5,2020-04-12
India,8447,765,273,2020-04-12
