State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,363,7,6,2020-04-10
Andaman and Nicobar Islands,11,0,0,2020-04-10
Arunachal Pradesh,1,0,0,2020-04-10
Assam,29,0,0,2020-04-10
Bihar,60,0,1,2020-04-10
Chandigarh,18,7,0,2020-04-10
Chhattisgarh,10,9,0,2020-04-10
Delhi,898,25,13,2020-04-10
Goa,7,1,0,2020-04-10
Gujarat,241,26,17,2020-04-10
Haryana,169,29,3,2020-04-10
Himachal Pradesh,28,6,1,2020-04-10
Jammu and Kashmir,184,6,4,2020-04-10
Jharkhand,13,0,1,2020-04-10
Karnataka,197,30,6,2020-04-10
Kerala,357,96,2,2020-04-10
Ladakh,15,10,0,2020-04-10
Madhya Pradesh,259,0,16,2020-04-10
Maharashtra,1364,125,97,2020-04-10
Manipur,2,1,0,2020-04-10
Mizoram,1,0,0,2020-04-10
Odisha,44,2,1,2020-04-10
Puducherry,5,1,0,2020-04-10
Punjab,132,5,11,2020-04-10
Rajasthan,463,21,3,2020-04-10
Tamil Nadu,834,21,8,2020-04-10
Telengana,473,35,7,2020-04-10
Tripura,1,0,0,2020-04-10
Uttarakhand,35,5,0,2020-04-10
Uttar Pradesh,431,32,4,2020-04-10
West Bengal,116,16,5,2020-04-10
India,6761,516,206,2020-04-10
