State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,305,5,4,2020-04-08
Andaman and Nicobar Islands,10,0,0,2020-04-08
Arunachal Pradesh,1,0,0,2020-04-08
Assam,27,0,0,2020-04-08
Bihar,38,0,1,2020-04-08
Chandigarh,18,7,0,2020-04-08
Chhattisgarh,10,9,0,2020-04-08
Delhi,576,21,9,2020-04-08
Goa,7,0,0,2020-04-08
Gujarat,165,25,13,2020-04-08
Haryana,147,28,3,2020-04-08
Himachal Pradesh,18,2,1,2020-04-08
Jammu and Kashmir,116,4,2,2020-04-08
Jharkhand,4,0,0,2020-04-08
Karnataka,175,25,4,2020-04-08
Kerala,336,70,2,2020-04-08
Ladakh,14,10,0,2020-04-08
Madhya Pradesh,229,0,13,2020-04-08
Maharashtra,1018,79,64,2020-04-08
Manipur,2,0,0,2020-04-08
Mizoram,1,0,0,2020-04-08
Odisha,42,2,1,2020-04-08
Puducherry,5,1,0,2020-04-08
Punjab,91,4,7,2020-04-08
Rajasthan,328,21,3,2020-04-08
Tamil Nadu,690,19,7,2020-04-08
Telengana,427,35,7,2020-04-08
Tripura,1,0,0,2020-04-08
Uttarakhand,31,5,0,2020-04-08
Uttar Pradesh,343,26,3,2020-04-08
West Bengal,99,13,5,2020-04-08
India,5274,411,149,2020-04-08
