State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,348,6,4,2020-04-09
Andaman and Nicobar Islands,11,0,0,2020-04-09
Arunachal Pradesh,1,0,0,2020-04-09
Assam,28,0,0,2020-04-09
Bihar,39,0,1,2020-04-09
Chandigarh,18,7,0,2020-04-09
Chhattisgarh,10,9,0,2020-04-09
Delhi,669,21,9,2020-04-09
Goa,7,0,0,2020-04-09
Gujarat,179,25,16,2020-04-09
Haryana,169,29,3,2020-04-09
Himachal Pradesh,18,2,1,2020-04-09
Jammu and Kashmir,158,4,4,2020-04-09
Jharkhand,13,0,0,2020-04-09
Karnataka,181,28,5,2020-04-09
Kerala,345,83,2,2020-04-09
Ladakh,14,10,0,2020-04-09
Madhya Pradesh,259,0,16,2020-04-09
Maharashtra,1135,117,72,2020-04-09
Manipur,2,1,0,2020-04-09
Mizoram,1,0,0,2020-04-09
Odisha,42,2,1,2020-04-09
Puducherry,5,1,0,2020-04-09
Punjab,101,4,8,2020-04-09
Rajasthan,383,21,3,2020-04-09
Tamil Nadu,738,21,8,2020-04-09
Telengana,442,35,7,2020-04-09
Tripura,1,0,0,2020-04-09
Uttarakhand,35,5,0,2020-04-09
Uttar Pradesh,410,31,4,2020-04-09
West Bengal,103,16,5,2020-04-09
India,5865,478,169,2020-04-09
