State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,432,11,7,2020-04-13
Andaman and Nicobar Islands,11,10,0,2020-04-13
Arunachal Pradesh,1,0,0,2020-04-13
Assam,31,0,1,2020-04-13
Bihar,64,26,1,2020-04-13
Chandigarh,21,7,0,2020-04-13
Chhattisgarh,31,10,0,2020-04-13
Delhi,1154,27,24,2020-04-13
Goa,7,5,0,2020-04-13
Gujarat,539,47,26,2020-04-13
Haryana,185,29,3,2020-04-13
Himachal Pradesh,32,13,1,2020-04-13
Jammu and Kashmir,245,6,4,2020-04-13
Jharkhand,19,0,2,2020-04-13
Karnataka,247,59,6,2020-04-13
Kerala,376,179,3,2020-04-13
Ladakh,15,10,0,2020-04-13
Madhya Pradesh,604,44,43,2020-04-13
Maharashtra,1985,217,149,2020-04-13
Manipur,2,1,0,2020-04-13
Mizoram,1,0,0,2020-04-13
Nagaland,1,0,0,2020-04-13
Odisha,54,12,1,2020-04-13
Puducherry,7,1,0,2020-04-13
Punjab,167,14,11,2020-04-13
Rajasthan,812,21,3,2020-04-13
Tamil Nadu,1075,50,11,2020-04-13
Telengana,562,100,16,2020-04-13
Tripura,2,0,0,2020-04-13
Uttarakhand,35,5,0,2020-04-13
Uttar Pradesh,483,47,5,2020-04-13
West Bengal,152,29,7,2020-04-13
India,9352,980,324,2020-04-13
