State/UT,Confirmed,Recovered,Deaths,report_date
Andaman and Nicobar Islands,1,0,0,27/03/20
Andhra Pradesh,12,1,0,27/03/20
Bihar,6,0,1,27/03/20
Chandigarh,7,0,0,27/03/20
Chhattisgarh,6,0,0,27/03/20
Delhi,36,6,1,27/03/20
Goa,3,0,0,27/03/20
Gujarat,43,0,3,27/03/20
Haryana,30,11,0,27/03/20
Himachal Pradesh,3,0,1,27/03/20
Jammu and Kashmir,13,1,1,27/03/20
Karnataka,55,3,2,27/03/20
Kerala,137,11,0,27/03/20
Ladakh,13,3,0,27/03/20
Madhya Pradesh,20,0,1,27/03/20
Maharashtra,130,15,4,27/03/20
Manipur,1,0,0,27/03/20
Mizoram,1,0,0,27/03/20
Odisha,2,0,0,27/03/20
Puducherry,1,0,0,27/03/20
Punjab,33,0,1,27/03/20
Rajasthan,41,3,0,27/03/20
Tamil Nadu,29,1,1,27/03/20
Telengana,45,1,0,27/03/20
Uttarakhand,5,0,0,27/03/20
Uttar Pradesh,41,11,0,27/03/20
West Bengal,10,0,1,27/03/20
India,724,67,17,27/03/20
